Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales,Net Revenue per Item
Jewelry,2,116.0,-5.8,0.0,110.2,55.1
Recycled Art,2,116.0,-5.8,0.0,110.2,55.1
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,115.0,-5.0,0.0,110.0,110.0
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,1,220.0,0.0,-110.0,110.0,110.0
Furniture,1,110.0,0.0,0.0,110.0,110.0
Soapstone,7,110.0,0.0,0.0,110.0,15.714285714285714
Basket,1,110.0,0.0,0.0,110.0,110.0
Basket,4,112.0,-2.8,0.0,109.2,27.3
Basket,4,112.0,-2.8,0.0,109.2,27.3
Soapstone,8,112.0,-4.2,0.0,107.8,13.475
Home Decor,5,112.5,-4.82,0.0,107.68,21.536
Kitchen,9,112.0,-4.8,0.0,107.2,11.911111111111111
Kitchen,4,112.0,-5.6,0.0,106.4,26.6
Christmas,3,114.0,-7.6,0.0,106.4,35.46666666666667
Jewelry,8,168.0,-5.62,-56.0,106.38,13.2975
Basket,1,125.0,-18.75,0.0,106.25,106.25
Kitchen,3,106.0,0.0,0.0,106.0,35.333333333333336
Christmas,6,110.0,-4.5,0.0,105.5,17.583333333333332
Basket,1,116.0,-11.6,0.0,104.4,104.4
Basket,1,116.0,-11.6,0.0,104.4,104.4
Christmas,4,108.0,-3.6,0.0,104.4,26.1
Basket,1,116.0,-11.6,0.0,104.4,104.4
Christmas,3,108.0,-3.6,0.0,104.4,34.800000000000004
Basket,1,116.0,-11.6,0.0,104.4,104.4
Basket,1,115.0,-11.5,0.0,103.5,103.5
Basket,1,115.0,-11.5,0.0,103.5,103.5
Basket,1,115.0,-11.5,0.0,103.5,103.5
Basket,1,115.0,-11.5,0.0,103.5,103.5
Kitchen,1,115.0,-11.5,0.0,103.5,103.5
Accessories,1,114.0,-11.4,0.0,102.6,102.6
Accessories,1,114.0,-11.4,0.0,102.6,102.6
Kitchen,10,106.5,-4.19,0.0,102.31,10.231
Jewelry,3,102.0,0.0,0.0,102.0,34.0
Textiles,2,120.0,-18.0,0.0,102.0,51.0
Jewelry,3,104.5,-2.85,0.0,101.65,33.88333333333333
Kitchen,9,103.5,-3.15,0.0,100.35,11.149999999999999
Home Decor,2,100.0,0.0,0.0,100.0,50.0
Art & Sculpture,3,108.0,-8.0,0.0,100.0,33.333333333333336
Kitchen,8,100.0,0.0,0.0,100.0,12.5
Recycled Art,1,110.0,-11.0,0.0,99.0,99.0
Basket,1,110.0,-11.0,0.0,99.0,99.0
Art & Sculpture,3,99.0,0.0,0.0,99.0,33.0
Basket,1,110.0,-11.0,0.0,99.0,99.0
Music,1,220.0,-11.0,-110.0,99.0,99.0
Recycled Art,1,110.0,-11.0,0.0,99.0,99.0
Basket,1,110.0,-11.0,0.0,99.0,99.0
Home Decor,3,114.0,-15.2,0.0,98.8,32.93333333333333
Kids,3,102.0,-3.2,0.0,98.8,32.93333333333333
Basket,3,190.0,-15.2,-76.0,98.8,32.93333333333333
Basket,3,102.0,-3.4,0.0,98.6,32.86666666666667
Kitchen,3,102.0,-3.41,0.0,98.59,32.86333333333334
Accessories,1,98.0,0.0,0.0,98.0,98.0
Jewelry,7,98.0,0.0,0.0,98.0,14.0
Accessories,1,98.0,0.0,0.0,98.0,98.0
Basket,4,146.0,-20.8,-28.0,97.2,24.3
Jewelry,3,102.0,-5.0,0.0,97.0,32.333333333333336
Kids,3,102.0,-5.09,0.0,96.91,32.303333333333335
Kitchen,9,97.5,-1.05,0.0,96.45,10.716666666666667
Art & Sculpture,3,96.0,0.0,0.0,96.0,32.0
Jewelry,2,96.0,0.0,0.0,96.0,48.0
Basket,1,96.0,0.0,0.0,96.0,96.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Basket,1,96.0,0.0,0.0,96.0,96.0
Christmas,4,96.0,0.0,0.0,96.0,24.0
Jewelry,2,96.0,0.0,0.0,96.0,48.0
Furniture,2,96.0,0.0,0.0,96.0,48.0
Accessories,2,96.0,0.0,0.0,96.0,48.0
Home Decor,2,96.0,0.0,0.0,96.0,48.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Art & Sculpture,2,96.0,0.0,0.0,96.0,48.0
Basket,1,96.0,0.0,0.0,96.0,96.0
Art & Sculpture,4,96.0,0.0,0.0,96.0,24.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Art & Sculpture,3,96.0,0.0,0.0,96.0,32.0
Basket,2,96.0,0.0,0.0,96.0,48.0
Jewelry,3,96.0,0.0,0.0,96.0,32.0
Art & Sculpture,2,96.0,0.0,0.0,96.0,48.0
Kids,3,102.0,-6.8,0.0,95.2,31.733333333333334
Jewelry,3,102.0,-6.8,0.0,95.2,31.733333333333334
Basket,2,112.0,-16.8,0.0,95.2,47.6
Kitchen,10,105.0,-9.95,0.0,95.05,9.504999999999999
Art & Sculpture,1,95.0,0.0,0.0,95.0,95.0
Art & Sculpture,1,95.0,0.0,0.0,95.0,95.0
Basket,1,94.0,0.0,0.0,94.0,94.0
Basket,1,94.0,0.0,0.0,94.0,94.0
Art & Sculpture,3,96.0,-3.2,0.0,92.8,30.933333333333334
Basket,2,92.0,0.0,0.0,92.0,46.0
Home Decor,1,92.0,0.0,0.0,92.0,92.0
Basket,2,92.0,0.0,0.0,92.0,46.0
Basket,2,92.0,0.0,0.0,92.0,46.0
Kitchen,7,92.0,0.0,0.0,92.0,13.142857142857142
Soapstone,5,94.0,-2.2,0.0,91.8,18.36
Jewelry,3,102.0,-10.21,0.0,91.79,30.596666666666668
Basket,2,96.0,-4.79,0.0,91.21,45.605
Art & Sculpture,2,96.0,-4.8,0.0,91.2,45.6
Basket,2,96.0,-4.8,0.0,91.2,45.6
Jewelry,4,96.0,-4.81,0.0,91.19,22.7975
Skin Care,5,92.5,-1.85,0.0,90.65,18.130000000000003
Kitchen,8,100.0,-9.6,0.0,90.4,11.3
Christmas,5,90.0,0.0,0.0,90.0,18.0
Art & Sculpture,2,90.0,0.0,0.0,90.0,45.0
Furniture,2,90.0,0.0,0.0,90.0,45.0
Art & Sculpture,2,132.0,-4.88,-37.12,90.0,45.0
Art & Sculpture,2,90.0,0.0,0.0,90.0,45.0
Soapstone,5,90.0,0.0,0.0,90.0,18.0
Art & Sculpture,2,90.0,0.0,0.0,90.0,45.0
Fair Trade Gifts,3,90.0,0.0,0.0,90.0,30.0
Basket,1,90.0,0.0,0.0,90.0,90.0
Kids,5,90.0,0.0,0.0,90.0,18.0
Kitchen,5,90.0,0.0,0.0,90.0,18.0
Art & Sculpture,2,90.0,0.0,0.0,90.0,45.0
Basket,3,90.0,0.0,0.0,90.0,30.0
Recycled Art,3,96.0,-6.4,0.0,89.6,29.866666666666664
Art & Sculpture,1,112.0,-22.4,0.0,89.6,89.6
Basket,3,96.0,-6.4,0.0,89.6,29.866666666666664
Art & Sculpture,1,99.0,-9.9,0.0,89.1,89.1
Art & Sculpture,5,90.0,-1.8,0.0,88.2,17.64
Accessories,1,98.0,-9.8,0.0,88.2,88.2
Art & Sculpture,1,98.0,-9.8,0.0,88.2,88.2
Kitchen,5,90.0,-1.8,0.0,88.2,17.64
Art & Sculpture,2,132.0,0.0,-44.0,88.0,44.0
Art & Sculpture,1,88.0,0.0,0.0,88.0,88.0
Basket,2,88.0,0.0,0.0,88.0,44.0
Basket,1,88.0,0.0,0.0,88.0,88.0
Home Decor,1,88.0,0.0,0.0,88.0,88.0
Accessories,1,88.0,0.0,0.0,88.0,88.0
Home Decor,1,88.0,0.0,0.0,88.0,88.0
Kitchen,1,88.0,0.0,0.0,88.0,88.0
Basket,2,88.0,0.0,0.0,88.0,44.0
Textiles,2,88.0,0.0,0.0,88.0,44.0
Basket,1,88.0,0.0,0.0,88.0,88.0
Jewelry,4,88.0,0.0,0.0,88.0,22.0
Kitchen,8,108.0,-9.6,-10.8,87.6,10.95
Art & Sculpture,2,90.0,-2.5,0.0,87.5,43.75
Basket,2,92.0,-4.6,0.0,87.4,43.7
Furniture,2,92.0,-4.8,0.0,87.2,43.6
Soapstone,2,87.0,0.0,0.0,87.0,43.5
Art & Sculpture,4,91.0,-4.7,0.0,86.3,21.575
Christmas,2,96.0,-9.8,0.0,86.2,43.1
Kitchen,2,86.0,0.0,0.0,86.0,43.0
Basket,2,86.0,0.0,0.0,86.0,43.0
Christmas,4,88.0,-2.19,0.0,85.81,21.4525
Art & Sculpture,2,90.0,-4.5,0.0,85.5,42.75
Basket,1,95.0,-9.5,0.0,85.5,85.5
Jewelry,3,102.0,-16.99,0.0,85.01,28.33666666666667
Home Decor,1,85.0,0.0,0.0,85.0,85.0
Home Decor,1,85.0,0.0,0.0,85.0,85.0
Jewelry,3,84.0,0.0,0.0,84.0,28.0
Home Decor,3,84.0,0.0,0.0,84.0,28.0
Jewelry,6,84.0,0.0,0.0,84.0,14.0
Basket,2,84.0,0.0,0.0,84.0,42.0
Basket,2,84.0,0.0,0.0,84.0,42.0
Home Decor,2,84.0,0.0,0.0,84.0,42.0
Home Decor,3,84.0,0.0,0.0,84.0,28.0
Kitchen,3,84.0,0.0,0.0,84.0,28.0
Basket,3,84.0,0.0,0.0,84.0,28.0
Textiles,3,84.0,0.0,0.0,84.0,28.0
Art & Sculpture,3,84.0,0.0,0.0,84.0,28.0
Christmas,3,84.0,0.0,0.0,84.0,28.0
Jewelry,6,84.0,0.0,0.0,84.0,14.0
Basket,2,88.0,-4.4,0.0,83.6,41.8
Kitchen,2,88.0,-4.4,0.0,83.6,41.8
Jewelry,2,88.0,-4.4,0.0,83.6,41.8
Textiles,4,88.0,-4.4,0.0,83.6,20.9
Kitchen,2,88.0,-4.4,0.0,83.6,41.8
Basket,2,88.0,-4.4,0.0,83.6,41.8
Kitchen,8,87.0,-4.19,0.0,82.81,10.35125
Home Decor,1,82.0,0.0,0.0,82.0,82.0
Home Decor,1,82.0,0.0,0.0,82.0,82.0
Kids,2,96.0,-14.4,0.0,81.6,40.8
Basket,3,84.0,-2.79,0.0,81.21,27.069999999999997
Art & Sculpture,3,84.0,-2.79,0.0,81.21,27.069999999999997
Kitchen,3,84.0,-2.8,0.0,81.2,27.066666666666666
Kitchen,3,84.0,-2.8,0.0,81.2,27.066666666666666
Jewelry,3,84.0,-2.8,0.0,81.2,27.066666666666666
Kitchen,3,84.0,-2.8,0.0,81.2,27.066666666666666
Soapstone,3,84.0,-2.8,0.0,81.2,27.066666666666666
Kitchen,3,84.0,-2.8,0.0,81.2,27.066666666666666
Jewelry,3,84.0,-2.8,0.0,81.2,27.066666666666666
Accessories,3,90.0,-9.0,0.0,81.0,27.0
Home Decor,2,90.0,-9.01,0.0,80.99,40.495
Kitchen,7,84.0,-3.6,0.0,80.4,11.485714285714286
Soapstone,4,84.0,-3.61,0.0,80.39,20.0975
Art & Sculpture,2,80.0,0.0,0.0,80.0,40.0
Jewelry,2,80.0,0.0,0.0,80.0,40.0
Basket,2,84.0,-4.2,0.0,79.8,39.9
Basket,2,126.0,-4.2,-42.0,79.8,39.9
Art & Sculpture,3,82.0,-2.2,0.0,79.8,26.599999999999998
Basket,2,88.0,-8.8,0.0,79.2,39.6
Home Decor,1,88.0,-8.8,0.0,79.2,79.2
Art & Sculpture,1,88.0,-8.8,0.0,79.2,79.2
Basket,1,88.0,-8.8,0.0,79.2,79.2
Basket,2,78.4,0.0,0.0,78.4,39.2
Fair Trade Gifts,1,78.0,0.0,0.0,78.0,78.0
Jewelry,2,78.0,0.0,0.0,78.0,39.0
Basket,1,78.0,0.0,0.0,78.0,78.0
Basket,2,86.0,-8.4,0.0,77.6,38.8
Basket,3,86.0,-8.43,0.0,77.57,25.856666666666666
Kitchen,3,80.0,-2.8,0.0,77.2,25.733333333333334
Kitchen,7,76.5,0.0,0.0,76.5,10.928571428571429
Kitchen,4,80.0,-4.0,0.0,76.0,19.0
Kitchen,1,76.0,0.0,0.0,76.0,76.0
Jewelry,2,76.0,0.0,0.0,76.0,38.0
Jewelry,2,76.0,0.0,0.0,76.0,38.0
Art & Sculpture,2,76.0,0.0,0.0,76.0,38.0
Art & Sculpture,2,76.0,0.0,0.0,76.0,38.0
Furniture,2,76.0,0.0,0.0,76.0,38.0
Jewelry,2,76.0,0.0,0.0,76.0,38.0
Kitchen,1,76.0,0.0,0.0,76.0,76.0
Jewelry,2,76.0,0.0,0.0,76.0,38.0
Kitchen,1,76.0,0.0,0.0,76.0,76.0
Jewelry,2,76.0,0.0,0.0,76.0,38.0
Basket,3,84.0,-8.41,0.0,75.59,25.19666666666667
,1,75.0,0.0,0.0,75.0,75.0
Christmas,1,75.0,0.0,0.0,75.0,75.0
,1,75.0,0.0,0.0,75.0,75.0
Art & Sculpture,1,75.0,0.0,0.0,75.0,75.0
Basket,3,114.0,-11.6,-28.0,74.4,24.8
Music,4,80.0,-6.0,0.0,74.0,18.5
Art & Sculpture,2,74.0,0.0,0.0,74.0,37.0
Art & Sculpture,5,76.0,-2.0,0.0,74.0,14.8
Basket,1,74.0,0.0,0.0,74.0,74.0
Soapstone,3,74.0,0.0,0.0,74.0,24.666666666666668
Music,5,74.0,0.0,0.0,74.0,14.8
Recycled Art,2,76.8,-3.48,0.0,73.32,36.66
Kitchen,7,76.5,-3.67,0.0,72.83,10.404285714285715
Basket,2,76.0,-3.8,0.0,72.2,36.1
Basket,2,76.0,-3.8,0.0,72.2,36.1
Home Decor,2,114.0,-7.6,-34.2,72.2,36.1
Home Decor,2,76.0,-3.8,0.0,72.2,36.1
Home Decor,2,76.0,-3.8,0.0,72.2,36.1
Jewelry,2,76.0,-3.8,0.0,72.2,36.1
Soapstone,2,76.0,-3.8,0.0,72.2,36.1
Skin Care,4,74.0,-1.85,0.0,72.15,18.0375
Jewelry,1,72.0,0.0,0.0,72.0,72.0
Fair Trade Gifts,4,72.0,0.0,0.0,72.0,18.0
Christmas,4,72.0,0.0,0.0,72.0,18.0
Textiles,2,80.0,-8.0,0.0,72.0,36.0
Kitchen,3,72.0,0.0,0.0,72.0,24.0
Art & Sculpture,3,72.0,0.0,0.0,72.0,24.0
Kids,3,72.0,0.0,0.0,72.0,24.0
Basket,2,80.0,-8.0,0.0,72.0,36.0
Art & Sculpture,1,72.0,0.0,0.0,72.0,72.0
Home Decor,2,72.0,0.0,0.0,72.0,36.0
Kitchen,6,72.0,-1.2,0.0,70.8,11.799999999999999
Skin Care,4,74.0,-3.7,0.0,70.3,17.575
Textiles,2,134.0,-5.7,-58.0,70.3,35.15
Christmas,5,70.0,0.0,0.0,70.0,14.0
Kitchen,4,80.0,-10.0,0.0,70.0,17.5
Soapstone,3,70.0,0.0,0.0,70.0,23.333333333333332
Art & Sculpture,2,70.0,0.0,0.0,70.0,35.0
Kitchen,1,70.0,0.0,0.0,70.0,70.0
Basket,3,72.0,-2.4,0.0,69.6,23.2
Jewelry,3,72.0,-2.4,0.0,69.6,23.2
Fair Trade Gifts,3,72.0,-2.4,0.0,69.6,23.2
Christmas,3,72.0,-2.41,0.0,69.59,23.19666666666667
Art & Sculpture,2,72.0,-2.8,0.0,69.2,34.6
Art & Sculpture,2,73.1,-4.08,0.0,69.02,34.51
Textiles,2,76.0,-7.6,0.0,68.4,34.2
Textiles,2,76.0,-7.6,0.0,68.4,34.2
Home Decor,2,76.0,-7.6,0.0,68.4,34.2
Basket,2,72.0,-3.61,0.0,68.39,34.195
Jewelry,4,72.0,-3.61,0.0,68.39,17.0975
Music,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Recycled Art,2,68.0,0.0,0.0,68.0,34.0
Art & Sculpture,1,68.0,0.0,0.0,68.0,68.0
Art & Sculpture,1,68.0,0.0,0.0,68.0,68.0
Jewelry,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Art & Sculpture,1,68.0,0.0,0.0,68.0,68.0
Basket,2,68.0,0.0,0.0,68.0,34.0
Home Decor,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Kids,2,68.0,0.0,0.0,68.0,34.0
Basket,2,68.0,0.0,0.0,68.0,34.0
Jewelry,1,68.0,0.0,0.0,68.0,68.0
Home Decor,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Home Decor,1,68.0,0.0,0.0,68.0,68.0
Jewelry,2,68.0,0.0,0.0,68.0,34.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Jewelry,2,68.0,0.0,0.0,68.0,34.0
Basket,1,68.0,0.0,0.0,68.0,68.0
Accessories,1,68.0,0.0,0.0,68.0,68.0
Home Decor,2,75.4,-7.54,0.0,67.86,33.93
Kids,4,67.5,0.0,0.0,67.5,16.875
Basket,1,74.0,-7.4,0.0,66.6,66.6
Kitchen,4,72.0,-5.4,0.0,66.6,16.65
Basket,2,104.0,-3.61,-34.0,66.39,33.195
Christmas,3,66.0,0.0,0.0,66.0,22.0
Fair Trade Gifts,3,66.0,0.0,0.0,66.0,22.0
Art & Sculpture,3,66.0,0.0,0.0,66.0,22.0
Art & Sculpture,3,66.0,0.0,0.0,66.0,22.0
Kids,3,66.0,0.0,0.0,66.0,22.0
Jewelry,3,66.0,0.0,0.0,66.0,22.0
Art & Sculpture,3,66.0,0.0,0.0,66.0,22.0
Art & Sculpture,2,65.6,0.0,0.0,65.6,32.8
Art & Sculpture,1,82.0,-16.4,0.0,65.6,65.6
Home Decor,1,65.0,0.0,0.0,65.0,65.0
Kids,2,72.0,-7.19,0.0,64.81,32.405
Jewelry,1,72.0,-7.2,0.0,64.8,64.8
Kitchen,6,72.0,-7.2,0.0,64.8,10.799999999999999
Jewelry,2,76.0,-11.4,0.0,64.6,32.3
Kitchen,2,68.0,-3.4,0.0,64.6,32.3
Jewelry,2,68.0,-3.4,0.0,64.6,32.3
Jewelry,2,68.0,-3.4,0.0,64.6,32.3
Home Decor,2,76.0,-11.4,0.0,64.6,32.3
Kitchen,2,68.0,-3.4,0.0,64.6,32.3
Jewelry,2,68.0,-3.4,0.0,64.6,32.3
Art & Sculpture,2,64.0,0.0,0.0,64.0,32.0
Art & Sculpture,2,64.0,0.0,0.0,64.0,32.0
Jewelry,2,64.0,0.0,0.0,64.0,32.0
Home Decor,1,64.0,0.0,0.0,64.0,64.0
Christmas,3,66.0,-2.2,0.0,63.8,21.266666666666666
Art & Sculpture,3,66.0,-2.2,0.0,63.8,21.266666666666666
Soapstone,2,68.0,-5.1,0.0,62.9,31.45
Basket,2,98.0,-3.4,-32.0,62.6,31.3
Christmas,3,65.0,-2.5,0.0,62.5,20.833333333333332
Jewelry,1,62.0,0.0,0.0,62.0,62.0
Home Decor,1,62.0,0.0,0.0,62.0,62.0
Jewelry,2,62.0,0.0,0.0,62.0,31.0
Basket,1,62.0,0.0,0.0,62.0,62.0
Christmas,3,66.0,-4.4,0.0,61.6,20.533333333333335
Kitchen,1,68.0,-6.8,0.0,61.2,61.2
Basket,1,68.0,-6.8,0.0,61.2,61.2
Kids,2,68.0,-6.8,0.0,61.2,30.6
Home Decor,1,68.0,-6.8,0.0,61.2,61.2
Home Decor,1,68.0,-6.8,0.0,61.2,61.2
Jewelry,2,68.0,-6.8,0.0,61.2,30.6
Art & Sculpture,1,68.0,-6.8,0.0,61.2,61.2
Soapstone,2,64.0,-3.2,0.0,60.8,30.4
Jewelry,2,64.0,-3.2,0.0,60.8,30.4
Home Decor,2,76.0,-15.2,0.0,60.8,30.4
Home Decor,2,76.0,-15.2,0.0,60.8,30.4
Jewelry,2,64.0,-3.21,0.0,60.79,30.395
Kitchen,6,66.0,-5.24,0.0,60.76,10.126666666666667
Art & Sculpture,3,66.0,-5.5,0.0,60.5,20.166666666666668
Home Decor,1,60.0,0.0,0.0,60.0,60.0
Home Decor,1,120.0,-6.0,-54.0,60.0,60.0
Soapstone,3,60.0,0.0,0.0,60.0,20.0
Fair Trade Gifts,2,60.0,0.0,0.0,60.0,30.0
Basket,1,66.0,-6.6,0.0,59.4,59.4
Art & Sculpture,3,66.0,-6.6,0.0,59.4,19.8
Home Decor,1,74.0,-14.79,0.0,59.21,59.21
Basket,2,62.0,-2.8,0.0,59.2,29.6
Home Decor,1,74.0,-14.8,0.0,59.2,59.2
Home Decor,1,74.0,-14.8,0.0,59.2,59.2
Soapstone,4,64.0,-4.8,0.0,59.2,14.8
Kitchen,3,58.5,0.0,0.0,58.5,19.5
Home Decor,1,58.5,0.0,0.0,58.5,58.5
Jewelry,1,58.0,0.0,0.0,58.0,58.0
Accessories,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Accessories,1,58.0,0.0,0.0,58.0,58.0
Jewelry,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Jewelry,1,58.0,0.0,0.0,58.0,58.0
Jewelry,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Basket,1,290.0,0.0,-232.0,58.0,58.0
Accessories,1,58.0,0.0,0.0,58.0,58.0
Home Decor,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Accessories,1,58.0,0.0,0.0,58.0,58.0
Kitchen,5,64.0,-6.0,0.0,58.0,11.6
Basket,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Kitchen,1,58.0,0.0,0.0,58.0,58.0
Basket,1,58.0,0.0,0.0,58.0,58.0
Basket,1,72.0,-14.4,0.0,57.6,57.6
Soapstone,2,60.0,-3.8,0.0,56.2,28.1
Soapstone,3,64.0,-7.8,0.0,56.2,18.733333333333334
Kitchen,2,56.0,0.0,0.0,56.0,28.0
Basket,2,56.0,0.0,0.0,56.0,28.0
Accessories,2,56.0,0.0,0.0,56.0,28.0
Kitchen,2,84.0,0.0,-28.0,56.0,28.0
Art & Sculpture,2,56.0,0.0,0.0,56.0,28.0
Recycled Art,2,56.0,0.0,0.0,56.0,28.0
Kids,3,56.0,0.0,0.0,56.0,18.666666666666668
Kitchen,2,56.0,0.0,0.0,56.0,28.0
Art & Sculpture,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Basket,2,56.0,0.0,0.0,56.0,28.0
Basket,2,56.0,0.0,0.0,56.0,28.0
Soapstone,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Christmas,4,56.0,0.0,0.0,56.0,14.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Christmas,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Kitchen,1,56.0,0.0,0.0,56.0,56.0
Kitchen,2,56.0,0.0,0.0,56.0,28.0
Art & Sculpture,4,56.0,0.0,0.0,56.0,14.0
Kids,2,56.0,0.0,0.0,56.0,28.0
Kitchen,4,56.0,0.0,0.0,56.0,14.0
Kitchen,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Art & Sculpture,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Jewelry,2,56.0,0.0,0.0,56.0,28.0
Kitchen,2,56.0,0.0,0.0,56.0,28.0
Skin Care,3,55.5,0.0,0.0,55.5,18.5
Art & Sculpture,3,57.0,-1.9,0.0,55.1,18.366666666666667
Jewelry,4,60.0,-5.0,0.0,55.0,13.75
Basket,3,60.0,-5.0,0.0,55.0,18.333333333333332
Art & Sculpture,1,68.0,-13.6,0.0,54.4,54.4
Basket,1,68.0,-13.6,0.0,54.4,54.4
Basket,1,68.0,-13.6,0.0,54.4,54.4
Art & Sculpture,1,54.0,0.0,0.0,54.0,54.0
Kitchen,3,54.0,0.0,0.0,54.0,18.0
Jewelry,3,54.0,0.0,0.0,54.0,18.0
Soapstone,3,54.0,0.0,0.0,54.0,18.0
Kids,3,54.0,0.0,0.0,54.0,18.0
Jewelry,1,54.0,0.0,0.0,54.0,54.0
Kitchen,3,54.0,0.0,0.0,54.0,18.0
Christmas,3,54.0,0.0,0.0,54.0,18.0
Art & Sculpture,3,54.0,0.0,0.0,54.0,18.0
Kids,2,56.0,-2.8,0.0,53.2,26.6
Kitchen,2,56.0,-2.8,0.0,53.2,26.6
Soapstone,2,56.0,-2.8,0.0,53.2,26.6
Home Decor,2,56.0,-2.8,0.0,53.2,26.6
Art & Sculpture,1,58.0,-5.0,0.0,53.0,53.0
Home Decor,2,78.75,0.0,-26.25,52.5,26.25
Basket,1,58.0,-5.8,0.0,52.2,52.2
Basket,1,58.0,-5.8,0.0,52.2,52.2
Jewelry,3,54.0,-1.8,0.0,52.2,17.400000000000002
Jewelry,3,54.0,-1.8,0.0,52.2,17.400000000000002
Art & Sculpture,3,54.0,-1.8,0.0,52.2,17.400000000000002
Art & Sculpture,1,58.0,-5.81,0.0,52.19,52.19
Jewelry,3,54.0,-1.81,0.0,52.19,17.396666666666665
Basket,2,58.0,-6.0,0.0,52.0,26.0
Art & Sculpture,1,52.0,0.0,0.0,52.0,52.0
Furniture,1,64.0,-12.8,0.0,51.2,51.2
Home Decor,2,56.0,-5.6,0.0,50.4,25.2
Art & Sculpture,1,56.0,-5.6,0.0,50.4,50.4
Art & Sculpture,3,54.0,-3.6,0.0,50.4,16.8
Jewelry,2,56.0,-5.6,0.0,50.4,25.2
Home Decor,1,50.0,0.0,0.0,50.0,50.0
Art & Sculpture,2,50.0,0.0,0.0,50.0,25.0
Soapstone,5,50.0,0.0,0.0,50.0,10.0
Kids,3,49.5,0.0,0.0,49.5,16.5
Kids,3,49.5,0.0,0.0,49.5,16.5
Kitchen,5,52.5,-3.15,0.0,49.35,9.870000000000001
Art & Sculpture,3,49.3,0.0,0.0,49.3,16.433333333333334
Recycled Art,2,49.0,0.0,0.0,49.0,24.5
Basket,1,54.0,-5.4,0.0,48.6,48.6
Basket,1,48.0,0.0,0.0,48.0,48.0
Fair Trade Gifts,1,48.0,0.0,0.0,48.0,48.0
Art & Sculpture,1,48.0,0.0,0.0,48.0,48.0
Music,1,48.0,0.0,0.0,48.0,48.0
Accessories,1,48.0,0.0,0.0,48.0,48.0
Basket,1,48.0,0.0,0.0,48.0,48.0
Art & Sculpture,1,48.0,0.0,0.0,48.0,48.0
Basket,1,48.0,0.0,0.0,48.0,48.0
Jewelry,1,48.0,0.0,0.0,48.0,48.0
Jewelry,2,48.0,0.0,0.0,48.0,24.0
Basket,1,48.0,0.0,0.0,48.0,48.0
Jewelry,1,48.0,0.0,0.0,48.0,48.0
Basket,1,48.0,0.0,0.0,48.0,48.0
Basket,1,48.0,0.0,0.0,48.0,48.0
Home Decor,2,48.0,0.0,0.0,48.0,24.0
Recycled Art,1,48.0,0.0,0.0,48.0,48.0
Jewelry,1,48.0,0.0,0.0,48.0,48.0
Basket,1,48.0,0.0,0.0,48.0,48.0
,1,48.0,0.0,0.0,48.0,48.0
Kitchen,2,48.0,0.0,0.0,48.0,24.0
Basket,1,48.0,0.0,0.0,48.0,48.0
